name,category,address,latitude,longitude,distance_miles,direction,distance_label,rating,source,notes
[Subject] Pacific & Pinson - Forney,Subject Property,,32.7511104,-96.4734864,0,N/A,Subject Property,,Vaulter Project Master,
Botanica Flor De Jerico,Retail & Big Box,"202 West Pacific Street, Forney",32.7508054,-96.47282849999999,0.04,ESE,ESE - 0.04 mi,4.7,Google Places,"home_goods_store, health, store, point_of_interest, establishment"
The Home Decor Company Texas,Retail & Big Box,"406 Pinson Road Suite b, Forney",32.7522796,-96.4717549,0.13,NE,NE - 0.13 mi,4.8,Google Places,"home_goods_store, store, point_of_interest, establishment"
"Birdman Kustom Electronics, LLC",Technology & Innovation,"205 West Broad Street, Forney",32.750125,-96.471572,0.13,ESE,ESE - 0.13 mi,4.9,Google Places,"electronics_store, store, point_of_interest, establishment"
Forney City Hall,Government & Civic,"401 Pinson Road, Forney",32.7527874,-96.472116,0.14,NE,NE - 0.14 mi,5,Google Places,"local_government_office, point_of_interest, establishment"
Pizza Grand,Restaurant & QSR,"420 Pinson Road, Forney",32.7528804,-96.4709737,0.19,NE,NE - 0.19 mi,4.3,Google Places,"restaurant, food, point_of_interest, establishment"
Dollar General,Gas & Convenience,"410 West Broad Street, Forney",32.7536571,-96.47228249999999,0.19,NNE,NNE - 0.19 mi,3.8,Google Places,"drugstore, convenience_store, grocery_or_supermarket, food, health, store, point_of_interest, establishment"
Kasti Trucking Llc,Industrial & Logistics,"110 West Broad Street, Forney",32.7497438,-96.47045759999999,0.2,ESE,ESE - 0.2 mi,1,Google Places,"moving_company, point_of_interest, establishment"
Caboose Park,Parks & Recreation,"94 South Bois D'Arc Street, Forney",32.7487788,-96.4713137,0.2,SE,SE - 0.2 mi,,Google Places,"park, point_of_interest, establishment"
Handprints Academy,School & University,"412 West Broad Street, Forney",32.7540523,-96.4728399,0.21,N,N - 0.21 mi,4.5,Google Places,"primary_school, school, point_of_interest, establishment"
The Pearl of Dauphin Island - Apartment with Sea View,Hospitality,United States,32.7481918,-96.4719315,0.22,SSE,SSE - 0.22 mi,,Google Places,"lodging, point_of_interest, establishment"
Sister House,Hospitality,Forney,32.7481845,-96.4719312,0.22,SSE,SSE - 0.22 mi,5,Google Places,"lodging, point_of_interest, establishment"
Mesquite Logistics Stream Realty,Industrial & Logistics,"112 South Bois D'Arc Street, Forney",32.7481845,-96.4719312,0.22,SSE,SSE - 0.22 mi,5,Google Places,"storage, point_of_interest, establishment"
Cicis Pizza To Go,Restaurant & QSR,"100 West Broad Street Suite 200, Forney",32.7494567,-96.4702839,0.22,ESE,ESE - 0.22 mi,4,Google Places,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment"
Roxstar Eatz N Treatz,Restaurant & QSR,"Come to my Place, 1234, Forney",32.7481845,-96.4719312,0.22,SSE,SSE - 0.22 mi,,Google Places,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Hamblen park,Parks & Recreation,"94 South Bois D'Arc Street, Forney",32.748494,-96.47100089999999,0.23,SE,SE - 0.23 mi,,Google Places,"park, point_of_interest, establishment"
First Methodist Forney Preschool,School & University,"414 West Broad Street, Forney",32.754563,-96.4734484,0.24,N,N - 0.24 mi,5,Google Places,"school, point_of_interest, establishment"
Donut Palace,Restaurant & QSR,"425 Pinson Road D, Forney",32.7539599,-96.47109590000001,0.24,NE,NE - 0.24 mi,4.6,Google Places,"bakery, food, store, point_of_interest, establishment"
Jack Rabbit Quick Stop,Gas & Convenience,"100 East Broad Street, Forney",32.74873819999999,-96.47052769999999,0.24,SE,SE - 0.24 mi,3.8,Google Places,"convenience_store, gas_station, store, food, point_of_interest, establishment"
Record Nations,Industrial & Logistics,"425 Pinson Road Suite M, Forney",32.75406570000001,-96.4710709,0.25,NE,NE - 0.25 mi,,Google Places,"storage, store, point_of_interest, establishment"
"GT III LOGISTICS, LLC",Industrial & Logistics,"425 Pinson Road Suite M-39, Forney",32.7541564,-96.4711167,0.25,NNE,NNE - 0.25 mi,,Google Places,"moving_company, point_of_interest, establishment"
After the Reign,School & University,"425 Pinson Road Suite M, #2062, Forney",32.75406570000001,-96.4710709,0.25,NE,NE - 0.25 mi,,Google Places,"university, point_of_interest, establishment"
Forney City Hall Annex (Community Development/Engineering),Government & Civic,"101 East Main Street, Forney",32.7479224,-96.47161249999999,0.25,SSE,SSE - 0.25 mi,3.6,Google Places,"local_government_office, point_of_interest, establishment"
Assented Blessings,Government & Civic,"425 Pinson Road Ste. M PMB 1087, Forney",32.7541564,-96.4711167,0.25,NNE,NNE - 0.25 mi,,Google Places,"post_office, finance, point_of_interest, establishment"
Forney Donut Shop,Restaurant & QSR,"201 South Bois D'Arc Street, Forney",32.7476764,-96.471989,0.25,SSE,SSE - 0.25 mi,4.6,Google Places,"bakery, food, store, point_of_interest, establishment"
City Bank ATM,Financial Services,"102 East Main Street, Forney",32.7477276,-96.47201299999999,0.25,SSE,SSE - 0.25 mi,,Google Places,"atm, finance, point_of_interest, establishment"
Bell Park,Parks & Recreation,"West Trinity Street, Forney",32.7475418,-96.47258869999999,0.25,SSE,SSE - 0.25 mi,4.9,Google Places,"park, point_of_interest, establishment"
Eno's Pizza Tavern,Restaurant & QSR,"215 South Bois D'Arc Street, Forney",32.7474334,-96.47235979999999,0.26,SSE,SSE - 0.26 mi,4.4,Google Places,"restaurant, food, point_of_interest, establishment"
Latham Bakery,Restaurant & QSR,"106 East Main Street, Forney",32.74751630000001,-96.47191269999999,0.26,SSE,SSE - 0.26 mi,4.6,Google Places,"bakery, restaurant, food, store, point_of_interest, establishment"
Trinity Street Guesthouse,Hospitality,United States,32.7512703,-96.47815709999999,0.27,W,W - 0.27 mi,,Google Places,"lodging, point_of_interest, establishment"
United States Postal Service,Government & Civic,"102 East Broad Street, Forney",32.74901799999999,-96.4696208,0.27,ESE,ESE - 0.27 mi,2.3,Google Places,"post_office, finance, point_of_interest, establishment"
Taylor Mail Center,Government & Civic,"425 Pinson Road Suite M, Forney",32.7543136,-96.47084129999999,0.27,NE,NE - 0.27 mi,4.9,Google Places,"post_office, store, finance, point_of_interest, establishment"
Dunkin Academy Preschool,School & University,"518 Pinson Road, Forney",32.753847,-96.46970499999999,0.29,NE,NE - 0.29 mi,4.2,Google Places,"school, point_of_interest, establishment"
Forney Fire Department,Government & Civic,"104 East Aimee Street, Forney",32.7493626,-96.46870179999999,0.3,ESE,ESE - 0.3 mi,5,Google Places,"fire_station, point_of_interest, establishment"
Forney Learning Academy,School & University,"309 South Bois D'Arc Street, Forney",32.746674,-96.4725011,0.31,S,S - 0.31 mi,,Google Places,"primary_school, school, point_of_interest, establishment"
Brookshire's Pharmacy,Healthcare,"427 Pinson Road, Forney",32.7550273,-96.4704089,0.32,NNE,NNE - 0.32 mi,3.4,Google Places,"pharmacy, health, store, point_of_interest, establishment"
Walgreens Pharmacy,Healthcare,"427 Pinson Road, Forney",32.7550273,-96.4704089,0.32,NNE,NNE - 0.32 mi,3.3,Google Places,"pharmacy, health, store, point_of_interest, establishment"
Cardtronics ATM,Financial Services,"427 Pinson Road #100, Forney",32.7550273,-96.4704089,0.32,NNE,NNE - 0.32 mi,,Google Places,"atm, finance, point_of_interest, establishment"
Kaufman County Constable's Office Pct 2,Government & Civic,"200 East Main Street, Forney",32.746773,-96.47126899999999,0.33,SSE,SSE - 0.33 mi,2.3,Google Places,"local_government_office, point_of_interest, establishment"
Kaufman County Justice of the Peace,Government & Civic,"200 East Main Street, Forney",32.746773,-96.47126899999999,0.33,SSE,SSE - 0.33 mi,1,Google Places,"local_government_office, point_of_interest, establishment"
Forney Sub Courthouse,Government & Civic,"200 East Main Street, Forney",32.746678,-96.4713665,0.33,SSE,SSE - 0.33 mi,3.8,Google Places,"courthouse, point_of_interest, establishment"
Xeric Garden Kaufman County,Parks & Recreation,"200 East Main Street, Forney",32.74667789999999,-96.4713665,0.33,SSE,SSE - 0.33 mi,5,Google Places,"park, point_of_interest, establishment"
Soulman's Bar-B-Que,Restaurant & QSR,"590 Pinson Road, Forney",32.754495,-96.46892799999999,0.35,NE,NE - 0.35 mi,4.3,Google Places,"restaurant, food, point_of_interest, establishment"
Exxon,Gas & Convenience,"431 Pinson Avenue, Forney",32.7547869,-96.4694336,0.35,NE,NE - 0.35 mi,4,Google Places,"gas_station, point_of_interest, establishment"
Scottish Inns & Suites Forney/East Dallas,Retail & Big Box,"103 West US Highway 80, Forney",32.755316,-96.469589,0.37,NE,NE - 0.37 mi,3.6,Google Places,"lodging, point_of_interest, establishment"
Forney Storage,Industrial & Logistics,"591 Pinson Road, Forney",32.75400150000001,-96.4681605,0.37,ENE,ENE - 0.37 mi,,Google Places,"storage, point_of_interest, establishment"
US-80,Transportation & Infrastructure,84 businesses on this road within radius,32.7511104,-96.4734864,0.37,N/A,~0.37 mi (nearest business on road),,Derived from Google Places addresses,US Highway
Addison Coffee Roasters - Forney,Restaurant & QSR,"309E East Main Street, Forney",32.7462428,-96.4697121,0.4,SSE,SSE - 0.4 mi,4.7,Google Places,"cafe, store, food, point_of_interest, establishment"
Tacos el cheve,Restaurant & QSR,"QG29+P5, Forney",32.751783,-96.4821096,0.5,W,W - 0.5 mi,5,Google Places,"bakery, food, store, point_of_interest, establishment"
Bank of America (with Drive-thru ATM),Financial Services,"100 West US Highway 80, Forney",32.7572624,-96.4686742,0.51,NNE,NNE - 0.51 mi,2.3,Google Places,"bank, finance, point_of_interest, establishment"
Bank of America ATM (Drive-thru),Financial Services,"100 West US Highway 80, Forney",32.7572624,-96.4686742,0.51,NNE,NNE - 0.51 mi,1.4,Google Places,"atm, finance, point_of_interest, establishment"
Fit Movement,School & University,"127 East US Highway 80, Forney",32.75281409999999,-96.4647882,0.52,ENE,ENE - 0.52 mi,5,Google Places,"school, point_of_interest, establishment"
7-Eleven,Restaurant & QSR,"100A East US Highway 80, Forney",32.75648599999999,-96.46642299999999,0.55,NE,NE - 0.55 mi,3.8,Google Places,"convenience_store, liquor_store, cafe, restaurant, food, store, point_of_interest, establishment"
McDonald's,Restaurant & QSR,"102 East US Highway 80, Forney",32.755812,-96.465946,0.55,NE,NE - 0.55 mi,3.3,Google Places,"cafe, store, restaurant, food, point_of_interest, establishment"
7-Eleven Fuel,Gas & Convenience,"100A East US Highway 80, Forney",32.75648599999999,-96.466422,0.55,NE,NE - 0.55 mi,,Google Places,"gas_station, point_of_interest, establishment"
ATM,Financial Services,"104 East US Highway 80 #120, Forney",32.7556867,-96.4652878,0.57,ENE,ENE - 0.57 mi,1,Google Places,"atm, finance, point_of_interest, establishment"
Walk to Dtwn Forney: 'gigi's Place' w/ Fire Pit,Hospitality,United States,32.7429123,-96.4757996,0.58,SSW,SSW - 0.58 mi,,Google Places,"lodging, point_of_interest, establishment"
"Mayo Chiropractic Care, Dr. Monique Mayo",Healthcare,"104 East US Highway 80 Suite 170, Forney",32.7557122,-96.4652109,0.58,ENE,ENE - 0.58 mi,5,Google Places,"physiotherapist, doctor, health, point_of_interest, establishment"
Taco Bell,Restaurant & QSR,"748 Pinson Road, Forney",32.7567526,-96.4660066,0.58,NE,NE - 0.58 mi,3.8,Google Places,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Forney Family Dentistry & Orthodontics,Retail & Big Box,"108 East US Highway 80 Suite 190, Forney",32.7552839,-96.46454419999999,0.59,ENE,ENE - 0.59 mi,4.5,Google Places,"dentist, health, point_of_interest, establishment"
Cardinal Pain Center PA - Dr. Vijay Arvind,Retail & Big Box,"490 East US Highway 80 Suite 200, Heathridge",32.7527417,-96.4634767,0.59,E,E - 0.59 mi,4.7,Google Places,"doctor, health, point_of_interest, establishment"
Applebee's Grill + Bar,Restaurant & QSR,"114 West US Highway 80, Forney",32.754873,-96.46439199999999,0.59,ENE,ENE - 0.59 mi,4.2,Google Places,"restaurant, bar, food, point_of_interest, establishment"
Shell,Gas & Convenience,"120 U.S. 80, Forney",32.754323,-96.464165,0.59,ENE,ENE - 0.59 mi,3.1,Google Places,"gas_station, point_of_interest, establishment"
H&R Block,Retail & Big Box,"108 East US Highway 80 #120, Forney",32.7554618,-96.4645384,0.6,ENE,ENE - 0.6 mi,4.7,Google Places,"accounting, finance, point_of_interest, establishment"
RockItCoin Bitcoin ATM,Financial Services,"120 U.S. 80, Forney",32.7544328,-96.46389579999999,0.6,ENE,ENE - 0.6 mi,,Google Places,"atm, finance, point_of_interest, establishment"
Waffle House,Restaurant & QSR,"760 Pinson Road, Forney",32.7569439,-96.4656483,0.61,NE,NE - 0.61 mi,4,Google Places,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Best Western Plus Christopher Inn & Suites,Retail & Big Box,"752 Pinson Road, Forney",32.75658499999999,-96.46506099999999,0.62,NE,NE - 0.62 mi,4.3,Google Places,"lodging, point_of_interest, establishment"
Rio Lerma Mexican Restaurant,Restaurant & QSR,"124 E US 80 Frontage Rd #100, Forney",32.7538889,-96.46333330000002,0.62,ENE,ENE - 0.62 mi,4.4,Google Places,"restaurant, food, point_of_interest, establishment"
"Texas Foot & Ankle Specialists, PLLC",Healthcare,"124 East US Highway 80 #104, Forney",32.75395200000001,-96.4631881,0.63,ENE,ENE - 0.63 mi,4.9,Google Places,"doctor, health, point_of_interest, establishment"
Chicken Express,Restaurant & QSR,"770 Pinson Road, Forney",32.757226,-96.4653562,0.63,NE,NE - 0.63 mi,3.3,Google Places,"restaurant, food, point_of_interest, establishment"
CEFCO Convenience Store,Restaurant & QSR,"899 Pinson Road, Forney",32.75801499999999,-96.4661205,0.64,NE,NE - 0.64 mi,3.3,Google Places,"convenience_store, liquor_store, atm, gas_station, meal_takeaway, cafe, restaurant, food, store, finance, point_of_interest, establishment"
Twill Furniture Suit 110,Retail & Big Box,"126 East US Highway 80, Forney",32.753629,-96.4627021,0.65,ENE,ENE - 0.65 mi,5,Google Places,"furniture_store, home_goods_store, store, point_of_interest, establishment"
Holiday Inn Express & Suites Forney by IHG,Hospitality,"110 U.S. 80, Forney",32.7556871,-96.4637963,0.65,ENE,ENE - 0.65 mi,3.9,Google Places,"gym, lodging, point_of_interest, health, establishment"
ATM (Food-Fast Convenience Store),Financial Services,"899 Pinson Road, Forney",32.75820479999999,-96.4660834,0.65,NE,NE - 0.65 mi,,Google Places,"atm, finance, point_of_interest, establishment"
Solid Rock Advanced Learning,School & University,"303 US, U.S. 80 B, Forney",32.7512494,-96.46201200000002,0.67,E,E - 0.67 mi,5,Google Places,"school, point_of_interest, establishment"
Forney Fence Supply,Retail & Big Box,"206 East US Highway 80, Forney",32.7528088,-96.46136489999999,0.71,E,E - 0.71 mi,4.8,Google Places,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment"
Forney ISD Administration Annex,School & University,"701 South Bois D'Arc Street, Forney",32.7411832,-96.47657129999999,0.71,SSW,SSW - 0.71 mi,,Google Places,"school, point_of_interest, establishment"
Summer Haven Mobile Home Park and RV,Hospitality,"650 Summerhaven Mobile Home Park, Forney",32.74865889999999,-96.46115379999999,0.74,ESE,ESE - 0.74 mi,3.2,Google Places,"rv_park, lodging, point_of_interest, establishment"
Family-Friendly 3 Bedroom/2 Bath Home - 25 Min to Dallas w/ Free EV Charging,Hospitality,United States,32.7593384,-96.46409600000001,0.79,NE,NE - 0.79 mi,,Google Places,"lodging, point_of_interest, establishment"
McKellar Park,Parks & Recreation,Forney,32.7411159,-96.4654163,0.83,SE,SE - 0.83 mi,,Google Places,"park, point_of_interest, establishment"
SecurCare Self Storage,Industrial & Logistics,"394 East US Highway 80, Forney",32.7503829,-96.45889840000001,0.85,E,E - 0.85 mi,4.8,Google Places,"storage, point_of_interest, establishment"
Warm & Spacious 4BR/3BA/4TV Home – Newly Renovated,Hospitality,United States,32.7388611,-96.4707336,0.86,S,S - 0.86 mi,,Google Places,"lodging, point_of_interest, establishment"
Eastside Park,Parks & Recreation,Forney,32.7428769,-96.4622344,0.87,SE,SE - 0.87 mi,4.8,Google Places,"park, point_of_interest, establishment"
Family-Friendly 3 Bedroom/2 Bath Home - 25 Min to Dallas w/ Free EV Charging,Hospitality,United States,32.76008220000001,-96.46252439999999,0.89,NE,NE - 0.89 mi,,Google Places,"lodging, point_of_interest, establishment"
Welcoming 4-bedroom house with AC in charming Forney,Hospitality,United States,32.7619476,-96.4646454,0.91,NE,NE - 0.91 mi,,Google Places,"lodging, point_of_interest, establishment"
Luxe Stay in Forney 4BR 2BA Gem,Hospitality,United States,32.7619552,-96.46463770000001,0.91,NE,NE - 0.91 mi,,Google Places,"lodging, point_of_interest, establishment"
Mulberry Park,Parks & Recreation,"751 South Bois D'Arc Street, Forney",32.7381616,-96.47739020000002,0.92,SSW,SSW - 0.92 mi,4.3,Google Places,"park, tourist_attraction, point_of_interest, establishment"
Automatic Maximum Fire Protection,Government & Civic,"308 Industrial Drive, Forney",32.7528353,-96.4573893,0.94,E,E - 0.94 mi,,Google Places,"fire_station, point_of_interest, establishment"
Schindler Carpet & Floors Design Center,Retail & Big Box,"16 Mustang Court, Forney",32.75021129999999,-96.4568396,0.97,E,E - 0.97 mi,4.4,Google Places,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment"
Skyline Park,Parks & Recreation,Forney,32.7649133,-96.4766729,0.97,N,N - 0.97 mi,,Google Places,"park, point_of_interest, establishment"
"J's Tint & Car Audio - Ceramic Coating, PPF, Car Wraps",Technology & Innovation,"28 Mustang Court, Forney",32.7500974,-96.45570629999999,1.04,E,E - 1.04 mi,4.9,Google Places,"electronics_store, car_repair, store, point_of_interest, establishment"
Royalty Floor & Decor,Retail & Big Box,"208 Industrial Drive, Forney",32.74998599999999,-96.4555029,1.05,E,E - 1.05 mi,5,Google Places,"home_goods_store, store, point_of_interest, establishment"
SQS Hardware,Retail & Big Box,"211 Industrial Drive, Forney",32.7526544,-96.4554009,1.06,E,E - 1.06 mi,,Google Places,"hardware_store, point_of_interest, store, establishment"
Linelle Warren Middle School,School & University,"805 South Bois D'Arc Street, Forney",32.736021,-96.4783566,1.08,SSW,SSW - 1.08 mi,,Google Places,"school, point_of_interest, establishment"
Mustang Creek Park,Parks & Recreation,"400 Longhorn Lane, Forney",32.7560803,-96.45578619999999,1.08,ENE,ENE - 1.08 mi,3.8,Google Places,"park, point_of_interest, establishment"
TownePlace Suites by Marriott Forney,Hospitality,"503 East US Highway 80, Forney",32.74470299999999,-96.45611699999999,1.1,ESE,ESE - 1.1 mi,4.4,Google Places,"lodging, point_of_interest, establishment"
Jones Intermediate School,School & University,"811 South Bois D'Arc Street, Forney",32.7363341,-96.4803191,1.1,SSW,SSW - 1.1 mi,,Google Places,"school, point_of_interest, establishment"
Cadence Academy Preschool,School & University,"929 College Avenue, Forney",32.7361529,-96.4667905,1.1,SSE,SSE - 1.1 mi,4.3,Google Places,"school, point_of_interest, establishment"
Bubba Bear’s School,School & University,"929 College Avenue, Forney",32.7361529,-96.4667905,1.1,SSE,SSE - 1.1 mi,1,Google Places,"school, point_of_interest, establishment"
Cookies By Jessica,Restaurant & QSR,"100 Greenfield Trail, Forney",32.7350815,-96.47333549999999,1.11,S,S - 1.11 mi,,Google Places,"bakery, food, store, point_of_interest, establishment"
Warren Middle School,School & University,"308 Chinaberry Trail, Forney",32.73519,-96.4782741,1.13,SSW,SSW - 1.13 mi,,Google Places,"school, point_of_interest, establishment"
Public Storage,Industrial & Logistics,"275 Regal Drive, Forney",32.74209859999999,-96.4568487,1.15,ESE,ESE - 1.15 mi,4.8,Google Places,"storage, store, point_of_interest, establishment"
Jackrabbit Stadium,Sports & Entertainment,"751 South Bois D'Arc Street, Forney",32.7353016,-96.4804283,1.16,SSW,SSW - 1.16 mi,4.3,Google Places,"stadium, point_of_interest, establishment"
Higher Grounds Coffee Shop,Restaurant & QSR,"1003 College Street, Forney",32.7353674,-96.4652684,1.19,SSE,SSE - 1.19 mi,4.8,Google Places,"cafe, store, food, point_of_interest, establishment"
Buffalo Wild Wings,Restaurant & QSR,"518 W. Us Highway 80 Frontage, Building B, Forney",32.7465038,-96.45342219999999,1.21,ESE,ESE - 1.21 mi,3.2,Google Places,"meal_takeaway, bar, restaurant, food, point_of_interest, establishment"
Outback Steakhouse,Restaurant & QSR,"560 West US Highway 80 Frontage, Forney",32.7461377,-96.45334899999999,1.22,ESE,ESE - 1.22 mi,4.5,Google Places,"meal_takeaway, bar, restaurant, food, point_of_interest, establishment"
Lakepoint Hospital Forney Texas,Healthcare,"763 U.S. 80 suit 280 a, Forney",32.7453435,-96.4532631,1.24,ESE,ESE - 1.24 mi,,Google Places,"hospital, health, point_of_interest, establishment"
First Baptist Church Forney,School & University,"1003 College Street, Forney",32.7348696,-96.46454450000002,1.24,SSE,SSE - 1.24 mi,4.7,Google Places,"church, place_of_worship, school, point_of_interest, health, establishment"
Neighbor Monthly Parking,Industrial & Logistics,"300 Trailhouse Lane, Forney",32.7521989,-96.45200829999999,1.25,E,E - 1.25 mi,5,Google Places,"storage, point_of_interest, establishment"
Arka Montessori of Forney,School & University,"1340 Pinson Road, Forney",32.7638268,-96.45802839999999,1.26,NE,NE - 1.26 mi,4.1,Google Places,"school, point_of_interest, establishment"
American National Bank of Texas,Financial Services,"104 Regal Drive, Forney",32.7442219,-96.4533447,1.26,ESE,ESE - 1.26 mi,3.1,Google Places,"bank, finance, point_of_interest, establishment"
American National Bank of Texas - ATM,Financial Services,"104 Regal Drive, Forney",32.74423649999999,-96.4533407,1.26,ESE,ESE - 1.26 mi,1,Google Places,"atm, finance, point_of_interest, establishment"
Forney Community Park,Retail & Big Box,"241 South Farm to Market 548, Forney",32.73886509999999,-96.4565264,1.3,SE,SE - 1.3 mi,4.7,Google Places,"park, tourist_attraction, point_of_interest, establishment"
Criswell Elementary School,School & University,"401 Farm to Market Road 740, Forney",32.7653396,-96.4588505,1.3,NE,NE - 1.3 mi,,Google Places,"primary_school, school, point_of_interest, establishment"
FM 740,Transportation & Infrastructure,3 businesses on this road within radius,32.7511104,-96.4734864,1.3,N/A,~1.3 mi (nearest business on road),,Derived from Google Places addresses,Farm to Market Road
Kohl's,Retail & Big Box,"182 Trailhouse Lane, Forney",32.7471215,-96.45119179999999,1.32,ESE,ESE - 1.32 mi,4.2,Google Places,"department_store, point_of_interest, store, establishment"
Heritage Hill Park,Parks & Recreation,"Heritage Hill Drive, Forney",32.767241,-96.4611829,1.32,NNE,NNE - 1.32 mi,4.5,Google Places,"park, tourist_attraction, point_of_interest, establishment"
Pleasant house in Forney Tx - Two-Bedroom House,Hospitality,United States,32.7663307,-96.45945739999999,1.33,NE,NE - 1.33 mi,,Google Places,"lodging, point_of_interest, establishment"
Claybon Elementary School,School & University,"1011 Farm to Market Road 741, Forney",32.7330319,-96.4654249,1.33,SSE,SSE - 1.33 mi,,Google Places,"primary_school, school, point_of_interest, establishment"
FM 741,Transportation & Infrastructure,4 businesses on this road within radius,32.7511104,-96.4734864,1.33,N/A,~1.33 mi (nearest business on road),,Derived from Google Places addresses,Farm to Market Road
Modern Apartment in Prime Location ID9550X82 - Two-Bedroom Apartment,Hospitality,United States,32.7501183,-96.45037839999999,1.34,E,E - 1.34 mi,,Google Places,"lodging, point_of_interest, establishment"
Baylor Scott & White Emergency Center - Forney,Healthcare,"757 East US Highway 80 #150, Forney",32.7423249,-96.45287929999999,1.34,ESE,ESE - 1.34 mi,2.6,Google Places,"doctor, health, point_of_interest, establishment"
"Antonio Barksdale, MD",Healthcare,"757 East US Highway 80 Suite 180, Forney",32.7423339,-96.45288529999999,1.34,ESE,ESE - 1.34 mi,4.6,Google Places,"doctor, health, point_of_interest, establishment"
Texas Health Family Care,Healthcare,"757 East US Highway 80 Suite 180, Forney",32.7423339,-96.45288529999999,1.34,ESE,ESE - 1.34 mi,4.7,Google Places,"doctor, health, point_of_interest, establishment"
Panera Bread,Restaurant & QSR,"680 East US Highway 80, Forney",32.7450872,-96.45161519999999,1.34,ESE,ESE - 1.34 mi,3.8,Google Places,"cafe, meal_takeaway, bakery, store, restaurant, food, point_of_interest, establishment"
Spacious Forney Home Rental with Game Room! - Holiday Home,Hospitality,United States,32.7538986,-96.45053100000001,1.35,E,E - 1.35 mi,,Google Places,"lodging, point_of_interest, establishment"
Spacious Forney Home Rental w/ Game Room!,Hospitality,United States,32.7539063,-96.45053100000001,1.35,E,E - 1.35 mi,,Google Places,"lodging, point_of_interest, establishment"
Forney Medical Plaza,Healthcare,"763 U.S. 80 Frontage Road, Forney",32.74275730000001,-96.4524799,1.35,ESE,ESE - 1.35 mi,,Google Places,"hospital, health, point_of_interest, establishment"
Baylor Scott and white,Healthcare,"763 East US Highway 80 Suite 130, Forney",32.7426073,-96.45249609999999,1.35,ESE,ESE - 1.35 mi,,Google Places,"hospital, health, point_of_interest, establishment"
"Lake Pointe Women's Center, PA",Healthcare,"763 U.S. 80 Suite 130, Forney",32.74261419999999,-96.45249179999999,1.35,ESE,ESE - 1.35 mi,3.3,Google Places,"doctor, health, point_of_interest, establishment"
Baylor Scott & White Imaging Center - Forney,Healthcare,"763 East US Highway 80 Suite 120, Forney",32.7427844,-96.4523954,1.35,ESE,ESE - 1.35 mi,3.3,Google Places,"doctor, health, point_of_interest, establishment"
"Dr. Gregory Young, Otolaryngologist",Healthcare,"763 East US Highway 80 #230, Forney",32.7426028,-96.4525997,1.35,ESE,ESE - 1.35 mi,,Google Places,"doctor, health, point_of_interest, establishment"
Lakeside Allergy Ear Nose: West Jeffrey A MD,Healthcare,"763 East US Highway 80 # 230, Forney",32.7426028,-96.4525997,1.35,ESE,ESE - 1.35 mi,,Google Places,"doctor, health, point_of_interest, establishment"
Trails of Chesnut Measows Neighborhood Playgrouns,Parks & Recreation,"611 Chestnut Trail, Forney",32.7317324,-96.47055879999999,1.35,S,S - 1.35 mi,,Google Places,"park, point_of_interest, establishment"
Carvalho Alexandre B MD,Healthcare,"763 East US Highway 80, Forney",32.7424514,-96.452451,1.36,ESE,ESE - 1.36 mi,,Google Places,"doctor, health, point_of_interest, establishment"
Kenny iLoabachie MD,Healthcare,"763 East US Highway 80 #230, Forney",32.74260350000001,-96.4524245,1.36,ESE,ESE - 1.36 mi,4.5,Google Places,"doctor, health, store, point_of_interest, establishment"
"Jim George, MD",Healthcare,"763 East US Highway 80 #240, Forney",32.7427864,-96.4523239,1.36,ESE,ESE - 1.36 mi,4.5,Google Places,"doctor, health, point_of_interest, establishment"
"Julian Lee, MD",Healthcare,"763 East US Highway 80 #100, Forney",32.74260350000001,-96.4524245,1.36,ESE,ESE - 1.36 mi,4.7,Google Places,"doctor, health, point_of_interest, establishment"
Preferred Dermatology - Forney,Healthcare,"763 East US Highway 80 Suite 125, Building 1, Forney",32.7428894,-96.45223229999999,1.36,ESE,ESE - 1.36 mi,4.9,Google Places,"hair_care, beauty_salon, doctor, health, store, point_of_interest, establishment"
Donut D'Lite,Restaurant & QSR,"1102 Ranch Road #210, Forney",32.7650103,-96.45680519999999,1.36,NE,NE - 1.36 mi,4.3,Google Places,"bakery, food, store, point_of_interest, establishment"
Lakeside Allergy ENT: Forney,Healthcare,"763 East US Highway 80 #230, Forney",32.7425193,-96.4522933,1.37,ESE,ESE - 1.37 mi,2.8,Google Places,"doctor, health, point_of_interest, establishment"
SNOWFOX Sushi,Restaurant & QSR,"500 Marketplace Boulevard, Forney",32.7488838,-96.4501173,1.37,E,E - 1.37 mi,5,Google Places,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Touchstone Imaging Forney,Healthcare,"215 Marketplace Boulevard, Forney",32.7457792,-96.4506657,1.38,ESE,ESE - 1.38 mi,5,Google Places,"hospital, health, point_of_interest, establishment"
Domino's Pizza,Restaurant & QSR,"1102 Ranch Road Ste 216 Ste 216, Forney",32.76513209999999,-96.4566668,1.38,NE,NE - 1.38 mi,3.6,Google Places,"meal_takeaway, meal_delivery, restaurant, food, point_of_interest, establishment"
